# 用户行为日志格式: user_id,product_id,action_type,duration,timestamp
# action_type: click(点击), browse(浏览), cart(加购), order(下单)
1001,P001,click,5,2024-12-01 10:00:01
1001,P001,browse,120,2024-12-01 10:00:10
1001,P001,cart,2,2024-12-01 10:02:15
1002,P002,click,3,2024-12-01 10:05:00
1002,P002,browse,60,2024-12-01 10:05:05
1003,P001,click,8,2024-12-01 10:10:00
1003,P001,browse,180,2024-12-01 10:10:10
1003,P001,cart,1,2024-12-01 10:13:30
1003,P001,order,5,2024-12-01 10:14:00
1001,P002,click,4,2024-12-01 10:20:00
1001,P003,click,6,2024-12-01 10:25:00
1001,P003,browse,90,2024-12-01 10:25:10
1004,P002,click,2,2024-12-01 10:30:00
1004,P002,browse,45,2024-12-01 10:30:05
1004,P002,cart,3,2024-12-01 10:31:00
1004,P002,order,8,2024-12-01 10:32:00
1005,P004,click,5,2024-12-01 10:35:00
1005,P004,browse,200,2024-12-01 10:35:10
1002,P003,click,7,2024-12-01 10:40:00
1002,P003,browse,150,2024-12-01 10:40:10
1002,P003,cart,2,2024-12-01 10:43:00
1006,P001,click,4,2024-12-01 10:45:00
1006,P001,browse,80,2024-12-01 10:45:05
1007,P005,click,3,2024-12-01 10:50:00
1007,P005,browse,100,2024-12-01 10:50:05
1007,P005,cart,1,2024-12-01 10:52:00
1007,P005,order,6,2024-12-01 10:53:00
1008,P002,click,5,2024-12-01 11:00:00
1008,P002,browse,70,2024-12-01 11:00:10
1009,P003,click,4,2024-12-01 11:05:00
1010,P001,click,6,2024-12-01 11:10:00
1010,P001,browse,90,2024-12-01 11:10:10

